	pl	csb
11735	Podana nazwa nie mogła zostać przekształcona w unikalną nazwę serwera. Upewnij się, że w Twojej sieci nie ma konfliktów nazw pomiędzy systemem nazw stosowanych przez Windows a systemem nazw stosowany przez UNIX.	Pòdané miono nie mògło òstac przësztôłconé w apartne miono serwera. Ùgwësni sã, że w Twòji sécë nié mô kònfliktów midze systemama mionów brëkòwónëch òb Windows a systemama mionów brëkòwónëch òb UNIX.
11736	LaotańskiQFontDatabase	QFontDatabase
11737	Znajdź następny	Nalezë pòstãpné
11738	Trening słownictwaComment	Cwiczenczi ze słowiznëComment
11739	Błąd:% 1 w wierszu% 2 Ślad:% 3	Fela:% 1 w réżce% 2 Szlach felë:% 3
11740	Inne	Wszelejaczé
11741	Minimalizuj/ przywróć okno	Zmniészanié/ zwiékszanié òknów
11742	Tatarski (Krymski) Name	Tatarsczi (krimsczi) Name
11743	& Rozwiń	& Rozwinie
11744	Rozszerz poprzez	Rozszérzë przez
11745	Wsparcie dla stron 'info'	Wspiarce dlô starnów 'info'
11746	Dodatkowe ustawienia & programu...	& Dodôwné nastôwë programë...
11747	Nie można zatrzymać serwera% 1.	Nie mòże zatrzëmac serwerë% 1.
11748	Informacje o sterowniku	Wëdowiédzô ò czérownikù
11749	Sesja istnieje. Zastąpić ją?	Sesëjô ju je. Nadpisac?
11750	Ameryka/ Grenada	Amerika/ Grenada
11751	GudźaratiName	GujaratiName
11752	Pokaż pasek stanu Pokazuje pasek stanu, czyli pasek na dole okna, zawierający aktualne informacje o stanie programu.	Pòkôżë listew stónu Pòkazëje listew stónu, to je listew w dole òkna, dze są biéżné wëdowiédze ò stónie programë.
11753	Kliknij, aby zmienić Twój obrazek użytkownika	(Klëkni bë zmienic swòj òbrôzk)
11754	Przed symbolem waluty	Przed céchã dëtków
11755	Rolka papieru 44 cali	Rolka papióru 44 cali
11756	Importuj zestaw kolorów	Impòrtëjë palétã farwów
11757	Przeglądarka tapet Plazmy	Òbzérôcz tapétów Plasmë
11758	"Dokument ""% 1"" został zmieniony. Zapisać go, czy anulować zmiany?"	"Dokùment ""% 1"" òstôł zmieniony. Zapisac gò czë pòrzucëc zmianë?"
11759	"Ręcznie dodaj klucz komputera do pliku ""known hosts"" lub skontaktuj się z administratorem."	"Rãczno dodôj klucz kòmpùtra do lopkù ""known hosts"" abò skòntaktëjë sã ze sprôwnikã."
11760	Kontakt jest obecnie dostępnyName	Kòntakt je terô pòdłączonyName
11761	WyczyśćQShortcut	WëczëszczëQDialogButtonBox
11762	Przenieś okno	Przeniesë òkno
11763	Zwykły	Płasczi
11764	Czy powtórzyć?	Chcesz spróbòwac znowa?
11765	Odstęp nagłówka	Òdstãp nagłówka
11766	Zachowaj wynik wykonania skryptów	Zatrzëmôj skùtk wëkònaniô skriptów
11767	Stary model nieokreślony	Stôri nieòpisóny mòdel
11768	Otwiera nowe okno menedżera plików, pokazujące cel tego odnośnika w katalogu nadrzędnym.	Òtmëkô nowé òkno menadżera lopków pòkazëjącë na cél negò lënka w jegò nôdrzãdnym katalogù.
11769	360x360dpi, zwykły papier, odcienie szarości	360x360dpi, Zwëkòwi papiór, cenie szaroscë
11770	Włącz wygaszacz ekranu	Włączë wëgaszôcz ekranu
11771	Ocean_ Indyjski/ Chagos	Indijsczi_ Òcean/ Chagos
11772	Nie można usunąć favicon.	Ikòna favicon nie mòże òstac rëmniãtô.
11773	Pokaż tekst na ikonach paska narzędzi	Wëskrzëniô tekstë na ikònach listwë nôrzãdzów
11774	Położenie zainstalowanych ścieżek Qt	Môl zainstalowónëch wtëkôczów Qt
11775	"Czy naprawdę chcesz włączyć ""% 1,"" a wyłączyć ""% 2""?"	"Na gwës włączëc ""% 1,"" a wëłączëc ""% 2""?"
11776	Częstotliwość odświeżania twojego ekranu może być wybrana z tej listy rozwijanej.	Czãstotlëwòta òdswiéżania Twòjegò ekranu mòże bëc wëbrónô z ti rozwijny lëstë.
11777	Formy zgodności CJK	Fòrmë kòmpatibilnotë CJK
11778	Włącz/ wyłącz śnieg na pulpicie	Włączë sniég na ekranie
11779	Połączenie z% 1 zostało odrzucone	Pòłączenié z% 1 òsta òdcësniãté
11780	Trafień	Trôfieniów
11781	Zapamiętaj cały tekst wypisywany w konsoli	Pamiãtôj wszëtczé wińdzenia terminala
11782	& Wstaw	& Wstawi
11783	Proszę podać nowy tekst:	Proszã pòdac nowi tekst:
11784	Zmień pseudonim	Zmieni tacëwné miono
11785	Podaj numer rozdania (numery dla pasjansa Freecell są opisane w FAQ dla Freecell):	Wpiszë numer dôwaniô kartów (numrë dlô pasjansë FreeCell są òpisóné w FAQ dlô FreeCell):
11786	Lista programów obsługujących wykorzystywanych przez Phonon. Kolejność tutaj odpowiada tej, w jakiej Phonon będzie ich używał.	Lësta programów òbsłëgùjącëch ùżëwónëch przez Phonon. Pòsobnica tuwò òdpòwiadô ti, w jaczi Phonon bãdze ji brëkòwôł.
11787	Odpowiedniki:	Równoznaczëznë:
11788	Telefon	Telefón
11789	Zapisz & jako...	Zapiszë jakno...
11790	Pokaż pasek postępu dla interfejsu graficznego	Pòkażë sztrépk pòkrokù dlô graficznegò interfejsu
11791	Wprowadź minimalną wartość dla widoku. Jeżeli obie wartości są równe zero, włączany jest wybór automatyczny zakresu.	Wprowadzë minimalną wôrtnotã dlô wëzdrzatkù. Jeżlë òbiedwie wôrtnotë są równé zero, włączóny je wëbiérk aùtomatnégò krézu.
11792	Powtórzona identyfikacja	Dëbeltno identifikacëjô
11793	KostarykaName	KòstarëkôName
11794	"Ustaw etykietę widoczną dla użytkownika, np. ""Konsola"""	"Ùstôwi letczé dô òdczëtaniô nôdpisë jak np. ""Konsole"""
11795	NarzędziaName	NôrzãdzaName
11796	Lilangeni suazyjskieName	Suazijsczi LilangeniName
11797	Jeśli otaczasz fragmenty tekstu, które zawierają znacznik, nawiasami wąsatymi to sekcja ta będzie niewidoczna, jeśli znacznik jest pusty.	Jeżlë òbjimôsz dzele tekstu, co zamëkają w se znacznik, wãsowima klamrama to na sekcëjô mdzë niewidzalnô, jeżlë znacznik je pùsti.
11798	sierpnia	zélnika
11799	Automatycznie uruchom wygaszacz po czasie bezczynności.	Aùtomatno zrëszë wëgaszôcz pò cządze nic nie robieniô.
11800	Otwórz lokalny motyw	Òtemknij môlową témã
11801	Nagrywanie płyt CD i DVDComment	Wëpôlanié diskùComment
11802	Zapisz & ramkę jako...	Zapiszë & ramã jakno...
11803	Zaplanowane drukowanie:	Planowóné drëkòwnié:
11804	Dysk sieciowy & Microsoft® Windows®	Sécowi disk & Microsoft® Windows®
11805	Podana data limitu czasu jest nieprawidłowa.	Wpisóny datum limitu czasu nie je przënôléżny.
11806	Dolar australijskiName	Aùstralëjsczi DolarName
11807	Połączenie nie powiodło się	Pòłączënié nie darzëło sã
11808	Poprzednia stronaQPrintPreviewDialog	QPrintPreviewDialog
11809	Oczekiwanie na strzał przeciwnika...	Żdanié na strzél procëmnika...
11810	Otwórz w menedżerze plikówName	Òtemkni w & menadzerze lopkówName
11811	Dźwięk dzwonka	Zwãk zwónka
11812	& ZapiszQDialogButtonBox	ZapiszëQDialogButtonBox
11813	Zmienne	Zmieniwne
11814	Menu LancelotaName	Mòdri LancelotName
11815	Licznik odtwarzania:	Rechòwnik graniô:
11816	Nie można pobrać motywu ikon. Proszę sprawdzić, czy adres% 1 jest poprawny.	Nie mòże zladowac archiwùm témë ikònów; proszã sprôwdzë, czë na adresa% 1 je prôwdzëwô.
11817	Otrzymano wiadomośćName	Òstało òtrzëmóné wiadłoName
11818	Opcjonalny adres URL dla < desktopfile > użytego z parametrem -- service	Optacjowé URL dlô < desktopfile >, przë brëkùnkù parametru -- service
11819	Nie można usunąć oryginalnego pliku	Ni mòże rëmnąc òriginalnegò lopka
11820	WyszukiwarkaName	SzëkôrzName
11821	Pliki importowanych list odtwarzaniaFront cover of an album	Jimpòrtëjë lëstã graniô
11822	Wymagaj granicy słowa na końcach, aby wzorzec pasował.	Wëmôgôj greńcë słowa na kùńcach, bë mùster bëł pasowny.
11823	OgólneName	SpòdlowéName
11824	*** Brak okien ***	*** Felëjë òknów ***
11825	Zapamiętywanie hasełName	Wspiarcé pòdrãczny pamiãcë dlô parolówName
11826	% 1:% 2, w posiadaniu użytkownika% 3	% 1:% 2, zrobioné przez% 3
11827	Proszę podać nową nazwę grupy:	Proszã pòdac nowé miono grëpë:
11828	Wszystkie znaki	Wszëtczé céchë
11829	Zużycie prądu własne zasilanie	Zbrëkòwanié żochù swòji pòdskôcnik
11830	Przy sortowaniu plików i katalogów, ułóż najpierw katalogi@ label	Wëskrzëni katalodżi pierwi dlô zortowaniô lopków ë katalogów@ label
11831	Błąd składni: nieznany obiekt '% 1'	Fela syntaksë: Nieznóny òbiekt '% 1'
11832	nieznana nazwa lub usługa	nieznóné miono abò ùsłëżnota
11833	Niepoprawny układ listy odtwarzania.	Lëchi wëzdrzatk lëstë graniô.
11834	Naciśnij, przesuń w lewo, puść. Comment	Wcësni, przësënié w lewò, pùszczëComment
11835	Konfiguracja wielu monitorów	Kònfigùracëjô wielu mònitorów
11836	Nie można zidentyfikować bieżącego stanowiska.	Ni mòże ùsôdzëc gniôzda!
11837	KorsykańskiName	KòrsykańscziName
11838	Zaznacz częściowo przesłane pliki	Zaznaczë dzélowò wësłóné lopczi
11839	Interfejs graficzny do BitTorrent używający wxGTKName	Graficzny interfejs dlô BitTorrent brëkùjący wxGTKName
11840	Pokaż aktywność systemu	Pòkôżë systemòwą aktiwnotã
11841	Połącz	Sparłãczenié
11842	Nie można otworzyć pliku '% 1'	Ni mòże òtemknąc lopka '% 1'
11843	Ameryka/ Miquelon	Amerika/ Miquelon
11844	Serwer przerwał połączenie.	Serwera przerwôła pòłączenié.
11845	Długość przenikania	Czas dżiniãcô
11846	Dodaj nowe rozszerzenie	Dodôj nowé rozszérzenié
11847	By dodać nową domenę, po prostu kliknij na przycisk Dodaj... i podaj niezbędne informacje. By zmienić istniejącą politykę, kliknij na Zmień... i wybierz nową politykę. Naciśnięcie na przycisk Usuń usunie wybraną politykę i przywróci ustawienia domyślne dla danej domeny, zaś Usuń wszystkie przywróci ustawienia domyślne dla wszystkich domen.	Bë dodac nową domenã, klëkni zwëczajno na knąpã Dodôj... ë wpiszë nóterną wëdowiédzã. Bë zmienic pòlitikã jaką ju dô, klëkni na Zmieni... ë wëbierzë nową pòlitikã. Wcësniãcé knąpë Rëmôj rëmnié wëbróną pòlitikã é doprowôdzy nazôd domëszlny nastôw dlô dóny domenë, a Rëmôj wszëtczé doprowôdzy nazôd nastôwë dlô wszëtczich domenów.
11848	Dzisiaj	Dzysô
11849	PID programu do zakończenia	PID aplikacëji do zamkniãcô
11850	Synchronizacja 1	Synchronicacëjô 1
11851	Usuń wybraną emotikonę	Rëmôj wëbróną emòtikònã
11852	InformacjaName	WëdowiédzôName
11853	ChinyName	ChinëName
11854	Wiersz:% 1 Kol:% 2	Réżka:% 1 kòlumna:% 2
11855	Monitor systemu - dyskComment	Mònitór systemë - Cwiardi diskComment
11856	Sesja nie jest jeszcze dostępna	felënk kònta brëkòwnika
11857	Wybór systemu faksowania	Wëbiérk systemë faksowaniô
11858	"Dodać nowe rozszerzenie sieciowe ""% 1"" do Twojego paska bocznego?"	"Dodac nowé sécowé rozszérzenié ""% 1"" do twòji bòczni listewë?"
11859	Jest to ilość rzeczywistej pamięci fizycznej używanej przez biblioteki współdzielone tego procesu. Ten obszar pamięci jest dzielony między wszystkie procesy wykorzystujące te biblioteki.	To je wielëna fizyczny pamiãcë brëkòwóny przez nen proces do grëpë z wespółdzeloną bibloteką. Na pamiãc je do grëpë brëkòwónô przez wszëtczé procesë co brëkùją ti bibloteczi.
11860	Rozmiar jest za duży. Ustawić maksymalną wartość?	Miara je za wiôlgô. Ùstawic maksymalną wôrtosc?
11861	Wyłącz pasek przewijania i nie zapamiętuj poprzedniego tekstu	Wëłączë listew przewijaniô ë nié pamiãtôj rechlijszich wińdzeniów
11862	Konfiguracja kolekcji	Kònfigùracëjô kòlekcëji
11863	Używa dowolnego koloruview-padding-color	view-padding-color
11864	Konfiguracja wyświetlacza (X11 Resize, Rotate and Reflect)	Kònfigùracëjô ekranu (zmiana miarë X11, òbrócënk ë òdbicé)
11865	Błąd podczas pobierania raportu o błędzie@ info/ plain	Fela ladowaniô rapòrtu ò felë@ info/ plain
11866	Wprowadziłeś zmiany do menu. Zapisać zmiany, czy zignorować je?	Môsz wprowadzóné zmianë do menu. Zapisac zmianë, czë je òprzestac?
11867	Moduł ustawień zegara	Mòduł kòntrolë zédżera KDE
11868	Uaktywnij poprzednią kartę po zamknięciu bieżącej	Aktiwùjë slédno brëkòwóną kôrtã pò zamkniãcô biéżny
11869	360 DPI FOL2 jednokierunkowy	360 DPI FOL2 jednoczérënkòwi
11870	Starszy plik o nazwie '% 1' już istnieje.	Stôrszi lopk ò mionie '% 1' ju òbstoji.
11871	Sprawdzanie pisowniQShortcut	QShortcut
11872	Sao Tome i PrincipeName	Sao Tome ë PrincipeName
11873	Czy mają być odtwarzane efekty dźwiękowe.	Czë mają bëc ùżëwóné zwãkòwé efektë.
11874	Ustawienia efektów aktywnych ikon	Ùstawi aktiwny efekt ikònë
11875	Dodaje dodatkowy język, używany przy braku tłumaczenia dla języka domyślnego	Dodôwô dodôwny jãzëk, ùżëwóny przë felënkù dolmaczënkù dlô domëszlnegò jãzëka.
11876	KornwalijskiName	KòrnwalijscziName
11877	Symulacja magicznej lampy podczas minimalizacji okienName	Symùlëjë magiczną lampã przë minimalizacëji òknówName
11878	Pobierz informacje o systemie i środowisku	Pòbiérzë wëdowiédzã ò systemie ë òkrãżim
11879	Następna sekwencja za 2...	Nowô sekwencja za 2...
11880	Okno z listą wyboru	Òkno z lëstą wëbiérkù
11881	PytanieComment	PëtaniéComment
11882	Aplet panelu do zmiany rozmiarów i orientacji ekranów X. Name	Panel apletu do zmianë miarë ë pòłóżenia ekranów XName
11883	Ustaw tutaj komendę, która będzie uruchamiania przed połączeniem z twoim urządzeniem (np. polecenie montowania).% d jest podmieniane przez węzeł urządzenia,% m przez punkt montowania. Puste komendy nie są wykonywane.	Ùstawi tuwò pòlét jaczi mdze zrëszóny przed pòłączenim z twòjim ùrządzeniem (np. pòlét mòntowaniô).% d je pòdmieniané przez wãzeł ùrządzenia,% m przez pùnkt mòntowaniô. Pùsté pòlétë nie są zrëszanié.
11884	marApril	strApril
11885	JaponiaName	JapòńskôName
11886	& Rozpocznij nową sesję	& Zrëszë nową sesëjã
11887	Standardowe urządzenia i etykiety...	Standardowé ùrządzenia ë eticzétë...
11888	CyrylicaQFontDatabase	QFontDatabase
11889	Hiperboliczny arcus tangens	Hiperbòlikòwi arkùs tangens
11890	Pobrania:% 1	Zladënków:% 1
11891	Nie można zmienić nazwy pliku	Ni mòże zmienic miona lopka
11892	Pokaż podpowiedzi plików	Wëskrzëni wëdowiédzã ò lopkach
11893	& Pobierz album	& Zladëjë albùm
11894	Długa japońska koperta # 4	Długô japòńskô kùwerta # 4
11895	Instalator wtyczki Adobe Flash dla Mozilli Firefox	Jinstalatór wtékôcza Adobe Flash dlô produktów Mozillë
11896	Zawieś (HUP)	Zawieszë (HUP)
11897	Zapisz wszystkoQDialogButtonBox	Zapiszë wszëtkòQDialogButtonBox
11898	Prenumeruj	Subskribùjë
11899	Usuwa znacznik modyfikacji z wybranych dokumentów i zamyka okno dialogowe, o ile nie ma więcej nieobsłużonych dokumentów.	Rëmô znaczniczi mòdifikacëji z wëbrónëch dokùmentów ë zamëkô dialogòwé òkna eżlë nie dô wicy òbsłëgiwónëch dokùmentów.
11900	Ten ślad czynności wygląda na bezużyteczny. Jest tak zapewne dlatego, że Twoje pakiety zostały utworzone w taki sposób, by uniemożliwić tworzenie poprawnych śladów czynności. Może to być spowodowane także bardzo poważną awarią programu, która spowodowała uszkodzenie śladu.	Nen szlach dzejnotë wëzdrzi na bezùżëtny. Je tak gwës dlôte, że Twòje paczétë òstałë ùsôdzoné na taczi ôrt, bë ùniemòżlëwić ùsôdzanié pòprôwnëch szlachów dzejnotë. Mòże to bëc równak sparłączoné téż z baro pòwôżną awarëją programë, jakô doprowadzëła do ùszkòdzeniô szlachù.
11901	Użytkownik	Brëkòwnik
11902	Dni	Dn.
11903	Błąd podczas ustawiania nowej strefy czasowej.	Fela nastôwù nowi czasowi conë.
11904	NepalskiName	NepaliName
11905	Europa/ Luksemburg	Eùropa/ Luksemburg
11906	"Jest to poważny błąd systemu zarządzania pakietami. Proszę poszukać uszkodzonych pakietów za pomocą programu Synaptic, sprawdzić prawa dostępu do plików oraz poprawność pliku ""/etc/apt/sources.list,"" a następnie odświeżyć informacje o pakietach za pomocą polecenia: ""sudo apt-get update"" i ""sudo apt-get install -f."""	"Je to cãżkô fela systemë sprôwianiô paczétama. proszã szëkac za zepsëtima paczétama z pòmòcą programë Synaptic, sprôwdzëc prawa przëstãpù do lopków ë pòprôwnosc lopka ""/etc/apt/sources.list,"" a pò tim zladowac znowa paczétë brëkùjąc pòlétu: ""sudo apt-get update"" ë ""sudo apt-get install -f."""
11907	Kadruje obraz do wybranego zaznaczeniaimage-action	image-action
11908	Nie można uruchomić przeglądarki	Ni mòże zrëszëc przezérnika
11909	Wyrównaj do prawej	Prawò
11910	Narzędzie przerwało działanie	W spódkù robiącô programa załôma sã
11911	Alternatywne nazwy:	Aliasë:
11912	NaukoweName	ÙczbòwéName
11913	Nie można uruchomić usługi% 1. Błąd:% 2	Nie mòże wësztartowac ùsłëżnotë% 1, Fela:% 2
11914	Dodaj & wersję systemu operacyjnego	Dodôj & wersëjã òperacjowi systemë
11915	Ostatnio zamknięte karty@ action: inmenu Tools	Prawie zamkłé kôrtë@ action: inmenu Tools
11916	Nazwa katalogu:	Miono katalogù:
11917	Wczytywanie wtyczki Netscape dla% 1	Wladowanié wtëkôcz Netscape dlô% 1
11918	Brak aktywności w monitorowanej sesjiComment	Niżódnô aktiwnota w mònitorowóny sesëjiComment
11919	Zwykłe drukowanie	Sztandardowé drëkòwanié
11920	Ścieżka fizyczna:	Fizycznô stegna:
11921	Powiększ okno na cały ekran	Zwikszë òkno na fùl ekran
11922	Funt falklandzkiName	Fùnt z Falklandzczich ÒstrowówName
11923	Odbijające klawisze	Òdbijające klawisze
11924	Klawisz Ctrl jest teraz włączony.	Klawisza Ctrl je terô włączonô.
11925	Aplet kontekstu AmarokaName	Aplet kòntekstu AmarokaName
11926	Plik PNM zawiera obraz o szerokości 0	Plik PNM zamëkô w se òbrôz ò szérzë 0
11927	Upłynął czas połączenia. Proszę sprawdzić stan sieci!	Czas sã skùńczëł. Proszã sprôwdzëc stón sécë.
11928	Zablokowane przez% 1 (uid% 2)	Blokòwóny przez% 1 (uid% 2)
11929	Tryb zasobnika (w dół)	Trib kartidża (w dół)
11930	"Argument ""seconds"" polecenia ""seek"" musi być wartością pomiędzy 0 a długością ścieżki."	Argùment 'sekùndë' pòlétu 'pòłożenié' mùszi miec wôrtnotã midze 0 a dłużą sztëczka.
11931	Historia uruchamianych programów	Historëjô zrëszanëch programów
11932	Bez zmian	Felënk zmianów
11933	Afryka/ Asmera	Afrika/ Asmera
11934	Wersja stylu klasycznego z większą liczbą kolorówName	Wësoczé farwë - wersëjô klasykòwégò sztélu (65. 536 farwów) Name
11935	Pole testowe	Testowé pòle
11936	Kontynuować mimo, że katalog nie jest pusty?	Jisc dali, nimò tegò, że katalog je pùsti?
11937	Ustaw identyfikator importowanego pliku lub pozostaw pusty	Nastôwi numer id dlô lopka, abò òstawi pùsté
11938	& Użyj arkusza stylów	& Brëkùjë bógã sztélów
11939	Testowanie wybranego motywu	Testëjë wëbróną témã
11940	Przełącz na ekran 2	Przełączë na ekran 2
11941	Kolor 3 (jasny)	Farwa 3 (intensywnota)
11942	Nie można uruchomić procesu faksującego.	Nie mòże zrëszëc procesu faksowaniô.
11943	600 DPI Jednokierunkowy	600 DPI jednoczérënkòwi
11944	& Widok	Òbezdrzë
11945	Kopiowanie@ title job	Kòpérowanié@ title job
11946	Moduł konfiguracji KDEName	Kòntrolny mòduł pùltu KDEName
11947	Praca & bez sieci	Robòta & bez sécë (offline)
11948	Przenieś do & kosza	& Przesënie do kòsza
11949	Elementy blokowe	Blokòwé elementë
11950	Prawy kartridż	Prawi kartridż
11951	Moduły centrum sterowaniaName	Mòdułë centróm kòntrolëName
11952	Wyszukiwanie plików/ katalogówName	Szëkba lopków/ katalogówName
11953	Komunikator internetowy umożliwia pogawędki między dwiema osobami lub grupami osób. Comment	Internetowi kòmùnikator dôwô mòżnota kôrbionczi midzë lëdzama ë karnama. Comment
11954	Wyświetla poprzednią stronę dokumentu	Wëskrzëniwô pòprzédną starnã dokùmentu
11955	Ukryj okno po uruchomieniu	Zatacë òkno pò zrëszenim
11956	Zastosowanie półtonów	Ùżëcé półtonów
11957	Czcionka systemowa	Systemòwé szeroczé fòntë
11958	Lepkie klawisze zostały włączone. Od tej chwili klawisze modyfikujące pozostaną włączone po ich puszczeniu.	Klawisze przëlepieniô òstałë włączoné. Òd terô mòdifikùjącé klawisze òstaną włączoné pò jich pùszczeniém.
11959	Liczba zwycięstw:	Dobëté grë:
11960	widgetById wymaga identyfikatora	widgetById wëmôgô id
11961	Ustaw w linii	Ùstawi w réze
11962	Europa/ Watykan	Eùropa/ Watikan
11963	Zapisać bieżącą sesję?	Zapisac biéżną sesëjã?
11964	Ustawinenia skrótów klawiszowych	Kònfigùracjô klawiszowëch skrodzënów
11965	& Usuń subskrypcję	& Rëmôj subskripcëjã
11966	Nie znaleziono usługi spełniającej wymagania	Nie nalazłô òbsłëga spôłniajacô wëmôgania
11967	Opracowanie graficzne niektórych statków	Wëzdrzatk niejednych òkrãtów
11968	Oczekiwanie na ruch komputera.	Żdanié na kòmpùtr.
11969	Domyślna identyfikacja	Domëszlnô identifikacëjô
11970	Użyj efektu Prezentacja okien do rozmieszczenia okien	"Brëkùjë fektu ""Prezentëjë òkna"" do pòrządkòwaniô òknów"
11971	Program kompatybilny z tym protokołem mógł nie zostać przez Ciebie uaktualniony przy okazji ostatniego uaktualnienia KDE. Wówczas stara wersja programu nie współpracuje z nowym protokołem i nie uruchamia się.	Kòmpatibilnô z tim protokòłã programa mògła nie òstac przez ce zaktualnionô przë slédny aktualizacëji KDE. W nen czas stôrô wersëjô programë nie wespółrobi z nowim protokòłã ë ni zrëszô sã.
11972	Nierozpoznany kod błędu% 1% 2 Proszę zgłosić błąd na stronie http: // bugs. kde. org.	Nie rozpòznóny kòd felë% 1% 2 Proszã zgłoszëc felã na starnie http: // bugs. kde. org.
11973	Różne małe formy	Wariantë môłëch fòrmów
11974	Uruchamianie w PythonieComment	Zrëszôcz PhythonaComment
11975	Identyfikator pliku khotkeys zapewnia, że plik nie zostanie zaimplementowany więcej niż raz. Jest to używane głównie do automatycznych uaktualnień pochodzących od programistów KDE.	ID lopka khotkeys je brëkòwóny do zabezpieczeniô przed wielorazowim impòrtowaniém lopka. Je to brëkòwóné przez rozwijôrzów KDE przë aùtoamtnym zaktualnianiu.
11976	Symbole Tai xuan jing	Symbòle Tai Xuan Jing
11977	Wyślij raport o błędzie.	Wëslë rapòrt ò felë.
11978	Różne kategorie wyjść. W każdej kategorii można wybrać urządzenie wyjściowe.	Wszelejaczé kategòrëje wińdzeniów. W kòżdi kategòrëji mòże wëbrac ùrządzenié wińdzenia.
11979	"Podgląd czcionki ""% 1"""	"Pòzdérk fòntu ""% 1"""
11980	360x360dpi, folia o wysokim połysku	360x360dpi, fòlia o wësoczim łiskù
11981	Autokonfiguracja pośrednikaComment	Aùtokònfigùracëjô pòstrzédnikaComment
11982	Pasek bocznyName	Bòcznô listewName
11983	Narzędzie do edycji listy odtwarzaniaName	Nôrzãdze edicëji lëstë graniôName
11984	Ocean_ Spokojny/ Samoa	Spòkójny_ Òcean/ Saipan
11985	zawiera	zamëkô w se
11986	Kalkulator	Kalkùlatora
11987	Znaki traktowane jako część słowa przy zaznaczaniu słów dwukrotnym kliknięciem w konsoli	Ne céchë bãdą przëjãté w terminalu, przë dëbeltnym klëkniãcô, jakno dzél słowa
11988	Opcje zszywacza	Òptacëje zszëwôcza
11989	Przyjemna pomoc	Miłô pòmòc
11990	Ameryka/ Gwadelupa	Amerika/ Gwadelupa
11991	Informacje o urządzeniuComment	Wëdowiédzô ò ùrządzeniachComment
11992	Po wciśnięciu Win+E (Tux+E) zostanie uruchomiona przeglądarka WWW, w której zostanie otwarta strona http: // www. kde. org. W mini- terminalu (Alt+F2) można wydawać wszystkie rodzaje poleceń. Name	Pò wcësniãcô Win+E (Tux+E) bãdze zreszony przezérnik WWW, w jaczim bãdze òtemkłô starna http: // www. kde. org. W mini- terminalu (Alt+F2) mòże zrëszëc wszëtczé ôrtë pòlétów. Name
11993	Kopiuj% 1	Kòpérejë% 1
11994	Pokaż ukryte katalogi	Wëskrzëni zataconé katalodżi
11995	RAM Dysk	RAM Disk
11996	Tu można zmodyfikować domyślną identyfikację przeglądarki, albo identyfikację właściwą dla danego serwera, np. www. kde. org lub domeny, np. kde. org. Żeby dodać nową identyfikację dla wybranego serwera, należy kliknąć Nowa i podać odpowiednie informacje. Żeby zmienić istniejącą identyfikację, należy użyć przycisku Zmień. Przycisk Usuń pozwala usunąć identyfikację dla danego serwera lub domeny.	Tuwò mòże mòdifikòwac domëszlną identifikacëjã przezérnika, abò tã dlô dónegò serwera, np. www. kde. org abò domenë, np. kde. org. Bë dodac nową identifikacëjô dla wëbrónegò serwera, je nót klëknąc Nowô ë wpisac pasowną wëdowiédzã. Bë zmienic identifikacëjãjaką ju dô, je nót ùżëc knąpë Zmieni. Knapa Rëmôj zezwôlô rëmnąc identifikacëjã dlô dónegò serwera abò domenëy.
11997	Przewodnik po KDEComment	Prowôdnik pò KDEComment
11998	Zaproszenie A2	Rôczba A2
11999	Używany przez	Ùżëwóny przez
12000	Pokazuje wszystkie urządzenia, które można wysunąć. Pozwala wysunąć urządzenia.	Wëskrzëniô wszëtczé ùrządzenia, chtërné mògą bëc wësëniãté ëzezwôlô na jich wësëwanié.
12001	Czcionki systemowe	Systemòwé fòntë
12002	Łotewski łatName	Łotewsczi ŁatName
12003	& Odłącz kartę	Òdłączë kôrtã
12004	kioclient move 'źródło' 'cel' # Przeniesienie zawartości adresu URL z 'źródła' do 'celu'. # 'źródło' może być listą adresów.	kioclient move 'src' 'dest' # Przenoszi adresã 'src' do 'dest'. # 'src' mòże bëc lëstą adersów.
12005	Czcionka, którą wyświetlany jest tekst oznaczony jako szeryfowy.	Fònt, jaczi wëskrzëniô tekst jakno szerifòwi.
12006	"Wpisany tu tekst będzie użyty do wyświetlania czasu. Tekst może zawierać poniższe symbole: HH Godzina w systemie 24- godzinnym - dwie cyfry (00- 23). hH Godzina w systemie 24- godzinnym (0- 23). PH Godzina w systemie 12- godzinnym (01- 12) - dwie cyfry. pH Godzina w systemie 12- godzinnym (1- 12). MM Minuty - dwie cyfry (00- 59). SS Sekundy - dwie cyfry (00- 59). AMPM ""am"" lub ""pm,"" w zależności od czasu. Południe zostanie oznaczone ""pm,"" a północ - ""am."""	"Wpisóny tuwò tekst bãdze brëkòwóny do wëskrzeniwaniô czasu. Tekst mòże zamëkac w se wëpisóné niżi céchë. HH Gòdzëna w 24- gòdzënowi systemie - dwie cyfrë (00- 23). hH Gòdzëna w 24- gòdzënowi systemie (0- 23). PH Gòdzëna w 12- gòdzënowi systemie (01- 12) - dwie cyfrë. pH Gòdzëna w 12- gòdzënowi systemie (1- 12). MM Minutë - dwie cyfrë (00- 59). SS Sekùndë - dwie cyfrë (00- 59). AMPM ""am"" abò ""pm,"" zanôlégò òd czasu. Pôłnie òstanié òznôczoné"" pm ,"" a noc -"" am ."""
